	0	1
269	投稿期刊Energy,编辑退回提交,说需要提供doc文件以统计字数?	大佬们,投稿第一次遇到这样的问题。Pleaseprovidethedocfileofyourmanuscriptundeheitemtype&quot;Latexsourcefile&quot;,itwouldbehelpfulforustocheckthewordcountofyourmanuscript.Pleaseedit.需要再写一份word嘛?
270	jrr期刊投稿	请问有人投过jrr期刊吗,机械工程师系列paO部分的,现在peerreviewinprogress,请问是外审吗
271	JCR2区  材料工程类 SCI期刊 咨询	请问大家可以帮忙推荐几个JCR2区的SCI期刊吗?材料加工类方向审稿速度快一些,容易一些的,收费期刊也ok的,
272	论文纠错	请问ieee已发表的论文有错误,纠错的话需要额外的版面费吗
273	请问各位电力系统有没有比较好中的二区sci	小弟写的是电力系统规划方面的论文,之前投了IEEEpowersystem,smagrid和sustainableenergy都被拒。大概三分之一的审稿专家要求reject,三分之二修改,论文质量应该不至于很差很差。所以想请教各位有没有比较好中的、认可度还可以的二区期刊,着急今年申phd用,谢谢了。
274	with journal administrator 一个半月	taylorfrancis系统,投稿journalofeahquakeengineering,一个半月了,状态一直是withjournaladministrator,这是什么情况,着急毕业,有类似经历的帮忙分析分析?谢谢
275	Production Editor的回复,不知道什么意思	本人8月17日在Springer的NeuralComputingandApplication中了一篇文章,但至今都没有收到proof文件。发邮件咨询了ProductionEditor,他回复说OursystemindicatesthattheMyPublicationformsofyouraiclehasbeenopenedbythecorrespondingauthorforcompletion.Oncetheformsaresubmitted,youwillbereceivingtheeprooflinkofyouraicle.可是在投稿系统里也找不到这个表格有在这篇期刊上中稿的...
276	本科生投核心难吗	本科生写了篇岩土类论文,老板说写的还可以让投了某中文EI期刊,然后被退稿,怎么办??????
277	投稿IET Control Theory  Applications需要latex模板吗?word可以吗?	投稿IETControlTheoryApplications需要latex模板吗?word可以吗?如果需要latex,还请帮忙提供下latex模板,
278	Angew重投一个多月了 还没消息	Angew审稿意见一个拒,一个修改。编辑给了重投的机会,修改之后已经投了5个星期了,一点消息都没有,着各位怎么看啊
279	投稿《岩土力学》	投稿《岩土力学》送两个外审,第一个天就审完了。。。不知是福还是祸请各位大神指点迷津!图片1.png
280	光学精密工程版面费问题	请问光学精密工程期刊版面费怎么收取,是正式录取通知下达之后收取吗?我收到了一个录用通知(非正式)以及一个版面费缴纳通知(没写金额)里面说一周内缴纳.
281	加密算法硬件实现相关期刊求助	请问大家《AES和SM4加密协处理器》这类文章,有哪些比较容易中的英文期刊呢?国内国外都可,只要容易中就可以了,对影响因子不要求,满足毕业就可以。
282	Accepted  Pending R Badge	AcceptedPendingRBadge不会上传代码到codeocean,可不可以给主编说一说不上传啊
283	Reproduction in Domestic Animals	ReproductioninDomesticAnimals请问这个杂志在JCR国际分区是几区
284	投稿期刊求推荐	小弟研究方向是超声检测中的数据压缩,想找个好发的EI源刊求个毕业,之前看了MPDI下的information和algorithm,但是最近涨价到一万了,而且看了里头的文章感觉质量也挺高的,心里没谱。求各位老哥老姐们推荐个好中的期刊,开源的也行,快救救孩子吧
285	管科方向哪些期刊的审稿周期比较短	问一下大家管理科学与工程方向有哪些期刊的审稿周期比较快,求毕业???
286	求助	CoS和CoO的xrd吸收峰在多少度?哪个大神可以指点一下
287	自动化学报审稿	研一刚写完一篇论文,投在了自动化学报上,等待了5天了,一直是等待编辑处理状态,是怎么回事,正常吗?
288	IEEE Trans on Robotics 有一个decision 的deadline,请问一定是按照的吗?	投稿系统说明3个月给结果,而且还给出一个deadline,就是投稿之后的3个月,好奇一定给结果吗?
289	《机械传动》期刊	有投过这个期刊的没?怎样?
290	求助	有谁能帮我看到你的PDF:04~022~8399卡片吗,有偿
291	稿件已审完,编辑一个多月还没给决定,如何处理?	向爱思唯尔下的期刊(SignalProcessing)投了一篇论文,投稿日期18Feb2022,稿件在26Feb2022很快更新了状态RequiredReviewsCompleted。但是到现在都一个多月了,编辑还没有给决定。这是什么情况。之前总投IEEE的期刊,编辑一般能很快给决定,但是第一次投爱思唯尔的期刊。对此不是很了解,望有经验的高手分享一下经验。非常感谢!
292	投稿状态	有人知道foodpackagingandshelflife的送审流程吗,我的投的submittedtojournal两周后witheditor了,但witheditor后每周都变了次日期变了两次,但状态没变是为啥呢等的好焦急
293	NPJ新期刊Communication Materials怎么样?前景如何?	做了个材料类的论文,投了Naturecommunications试试,编辑让转投CommunicationMaterials,我查了下是2019年底的新刊,网上说nature旗下的Communication系列的期刊都有很好的前景可以投资,大家觉得这个CM怎么样呢,有投过的吗?
294	ISME J期刊投稿经验	ISMEJ期刊投稿经验多久说明到审稿人手里了呀?
295	长江科学院院报投稿流程求助	外审2天左右就结束了,进入到主编审核,请问各位大佬们,这是外审通过,还是没有通过,有经验的求指导。)D{IBDFD5DVN3DZOL9HC}UT.png
296	投稿后发现错误	投稿后,已经在评审了,但是发现有两处错误,第一个,每个公式后面的序号在原有基础上都加了一,第二个,有个单词的单复数写错了。怎么办?投稿系统上也没有修改稿件的选项?谢谢各位了
297	author conflicts信息缺失怎么办呀!!	前天sigir截稿,我提交的版本没有authorconflicts信息,上面authorconflicts显示的none,作者邮箱后缀倒是有学校机构信息(但也不全),这个影响大嘛?会被deskrej嘛?现在要怎么做呀?好慌呀,感觉自己犯了这么蠢的问题可太难受了。目前,刚用邮箱给大会发邮件,看能否添加,邮箱不是投稿的邮箱,也没有告知自身信息。还想问下,如果我把个人信息发给大会,违反双盲嘛?有必要实名问嘛?
298	如何修改 ACS LaTeX 模板中最后一页标题 Graphical TOC Entry	ACSphotonics如何把ACSLaTeX模板中最后一页标题GraphicalTOCEntry修改标为ForTableofContentsUseOnly,以及将图片描述写在TOC框外?
299	FGCS期刊可以用word提交吗?	想知道期刊《futuregenerationcomputersystem》能提交word版吗?格式是什么?
300	求RSC的Chemical Communication投稿须知和模版	请问大佬们,谁有RSC的ChemicalCommunication投稿须知和模版,可以分享下吗?
301	Frontiers Authors proof	FrontiersinOncologyAuthorsproof阶段发现补充材料上传错了一个,还能去掉这个错误的补充材料么?
302	materials and structures有人投过吗	materials and structures有人投过吗
303	International journal of quantum chemistry投稿状态求助	各位同学大家好,本人小硕一枚,初投Wiely旗下的Internationaljournalofquantumchemistry期刊,从投稿到到现在半个月了,一直是Underreview,从没变过,想请教一下有经验的小伙伴,这个状态大概会持续多长时间?
304	RESS给了大修,请教润色事。	最近RESS返回意见给了大修,4个审稿人,一个只是让添加一个时间指标,其他的没说啥。另外三个表示研究很interesting,也提了若干条意见。另外提到了语言的问题,第一次提交的手稿已经是我英文水平的巅峰了,所以想请教下关于润色的事,在爱思唯尔润色怎么样?润色后是否有证明,在提交修改稿的时候是否可以将润色证明一同提交?
305	关于Journal of Navigation 期刊的投稿的问题咨询	在JournalofNavigation期刊投了一篇论文,编辑最近发来邮件Yourpaperhasbeenrecommendedforacceptancebythereviewteam.Inowneedtoeditandassessitagainstotherpapersvyingforspaceinthejournal,andtodothis,IneedaversioninMSWORDformat.这是什么意思,是接收了吗?为什么稿件状态还是UnderReview?有些不确定,发了邮件询问,然后主编给我的回复是Thankyoufohis.PleasebecleahatIhavenot...
306	under review 一周后变成reviewer(s) invited	是说明原来的审稿人拒绝审稿吗。我之前用导师的审稿人账号看见好像有的爱斯维尔期刊是一个审稿人审完再送下一个。这种情况真实存在吗,还是说就是简单的,审稿人没时间。但是我想,状态这样变,不可能所有审稿人都同时没时间啊,难道真的是,一个一个送审?
307	materials  and  design  编辑有点让人无语	materials  and  design  编辑有点让人无语
308	投Mathematical Problems in Engineering,七天了没分Editor	RT一周了,一直没分配editor,就在第三天发了个邮件要求确认下论文数据声明。这是声明情况?有大佬遇到过吗?请释疑。
309	ICRA2022投稿问题	ICRA会议论文提交时必须提交视频吗?不提交是不是中不了
310	投稿一个月一直是with journal administrator,应该怎么办呢?	投稿一个月一直是withjournaladministrator,连witheditor都不是是Taylor&Francis旗下的期刊,不能直接联系期刊编辑,只能联系到Taylor的办公室之类的,邮件回复倒是挺快,但是就是一些套话,请问有人遇到类似的情况吗?应该怎么办呢?
311	版面费只收到一部分?	版面费只收到一部分?
312	Applied Intelligence被接受后怎么提交源文件	急急被AppliedIntelligence编辑发来邮件说无法编辑PDF,需要提供原始latex和图片文件。但是通过添加附件回复邮件形式被退回。退回说明是邮件大小超过服务器限制(文件已通过压缩软件压缩到2.4M)。各位大神有没有遇到过,该怎么发过去啊?
313	这个后面复审是给哪里审?	请问后面的流程是怎么个流程法?小白第一次投稿,望大神解答
314	Energy Storage Materials大修返回稿第2天变Required Reviews Completed,要多久呢	三个审稿人一个大修,两个小修,修改稿返回第二天就变成审稿结束状态,这个是再等其它审稿人回复的意思吗?
315	审稿人关于化合物命名的问题	Thenameofcompoundsintheexperimentalsectionisusedinitalicsstyle.Therefore,descriptorslike&quot;d&quot;,&quot;R/S&quot;,&quot;te&quot;,&quot;N&quot;,etc.shouldnotbeusedinitalicsstyle我文中和实验材料和方法部分这些字符都是斜体,他说什么不斜体啊,没看明白
316	有关肥胖的杂志	关于肥胖的杂志,哪个比较快啊?
317	本科生咨询共同一作和实际评价时的作者排名	和导师发过几篇论文,在网页上所有作者都标了a或者1,那么在学校评奖学金或者写个人资料时应该写自己是二作还是共同一作呢?查过学校和其他学校的相关文件对这个没有详细的描述,网上的回答大多比较模糊
318	爱思唯尔润色	有没有大神告知爱思唯尔润色证书在哪下载呐感谢急
319	论文投稿出去后想再加一个作者难度大吗	论文投了IECR之后发现文章里用的软件自己学校没有完整授权,现在考虑挂一个外校老师,给他第四作者,请问这种情况和编辑说明后在修改过程中能实现吗?
320	elseiver版权协议基金的资助单位怎么填	elseiver版权协议基金的资助单位怎么填
321	周日投稿sci会容易被拒吗	最近在投第一篇sci,看网上说周二周三投最好,是这样吗,我想今天投出去
322	大量调剂名额!211/985,AB区1000+所院校	我们整理了日目前小木虫等全网10000+及全网所有学科调剂公告涵盖985/211,AB区13大学科全国高校,已经上传到文件夹还有近三年调剂公告汇总,导师邮件联系方式,做成excel,电脑直接检索专业,地区,学校即可Q郡:549025975
323	求助: ecotoxicology and environmental safety期刊	新手求助:投了一篇ecotoxicologyandenvironmentalsafety,刚开始自己设置了行号,投稿第二天期刊返回让去掉行号,但去掉行号后发现和系统自动生成的行号怎么都对应不好,修改了各种行间距和字体,都不行,你们遇到过这个问题吗,是怎么解决的埃各位大牛帮帮忙,谢谢谢谢
324	小型微型计算机系统投稿无时间显示	我的为什么没有具体时间,只显示到哪一步了,没有预计完成时间,没有实际完成时间,而且目前显示编辑部正在审稿,但无审稿状态持续九天了,请问有人知道什么情况吗?
325	trans投稿	最近投了trans的一个期刊,4个审稿人,3个好评,有一个问了几个问题,但好几个是错误的,最终被拒。写了申诉信给主编,好几天了,没消息,怎么破解。
326	今天收到了初审回复,不太理解啥意思。。。	请问各位前辈,小弟研究生在读,上月投了一篇中文核心期刊,今天刚收到回复:“现已通过专家初审,根据我部规定,您的论文需收版面费*元。接此通知后,请将款汇来,论文通过终审,给您开具正式发票,论文发表后支付给您稿费*元。增刊发表。(论文3年以后在知网上网)。”这个意思是这篇文章需要三年才能见刊吗?那还有必要投吗,需不需要退稿?这是小弟的第一篇文章,很多规则还不清楚,请各位前辈赐教!
327	请问:投稿中的图片可以使用网上下载的吗,比如toc中的图?	请问:投稿中的图片可以使用网上下载的吗,比如toc中的图?
328	投稿期刊答疑	请问友友们,中国电机工程学报接收英文论文投稿吗?
329	爱思唯尔论文申请延期,但是系统截止日期没变	各位大哥,大家有谁过投爱思唯尔论文申请过修改稿延期?我给客服发消息,他同意了延期2周,但是系统截止日期没变,这个有关系吗心里有点慌,怕到时候投稿系统关闭
330	高等学校化学学报投稿	为什么投高等学校化学学报,返修复审结束后。处于负责人签批完成一周没有变化啊?邮箱没有收到任何消息,是不是被拒了啊?下一步会是什么啊?
331	sci审稿意见中有一条意见没看懂,求助帮忙	各位大佬,审稿意见中有一条是table1lackscontrolsamples.plsaddsamplewithoutA,Bandc.请问,审稿人要求补的对照样品是不添加ABC的1个样。还是不添加a样品1个样,不添加b的一个样和c的一个样,共补3个样这种那?小弟懵了。
332	投稿二审阶段被拒稿概率多大	现在送审中,想了解下初审过了,专家审稿被拒的概率多大?好担心
333	求助一个适合肝病综述投稿的医学一区期刊	找了好几天了,没看到什么合适的,用选刊系统也没看到什么合适的杂志。迷茫了
334	投稿被拒,主编让改成technical note 再投	投的岩石力学的期刊,RockMechanicsandRockEngineering,邮件说:Followingapreliminaryscreeningofthecontentofyourmanuscriptandthetypeofcontirbutionweinvitetoresubmitintheformofatechnicalnote(shopaper).请问各位大佬,遇到这种情况,主要是没有外审的情况下主编直接拒了,让我改文章类型再投,这种情况我是大修重新投稿还是换一个期刊投稿。大修改类型重新投稿的中的机会大吗?
335	关于running title和 Response to Technical Check Results的问题	没过技术审查,编辑发来的comments原文如下:Comments:Thetitleexceeds70characterswithspaces;theauthorissuggestedtogiveanabbreviatedrunningtitle.这个runningtitle是大概是什么意思?只用提供这个runningtitle就可以了吗?
336	求问,生态学报修改稿上传后不能下载	在生态学报投了一篇文章,已经到了校对环节,可是上传校对稿之后在稿件查询里可以看见却不能下载,所以我想问一下这是上传失败了吗,有人有过这种情况吗,点下载修改稿就是图片中的样子
337	optics express 投稿求助	9.2投稿oe当天进入同行评议,现在已经快两个月了。只有一个审稿人审完,还有两个审稿人超期了一个月了。想咨询投过oe有经验的虫友。这种情况需不需要发邮件催编辑。(感觉催了也没有用)
338	求教,期刊论文接收后,上传最终版什么时候吗?	太粗心了,最近检查时发现有表格的数据填写错误,但不影响最终结论,在上传最终版前可以自己改回来吗?会不会被编辑看到而拒稿,哭了,感谢大佬们解答!
339	请问molecules的投稿模板在哪	想投有机的,可是在molecules看了半天没找到,投稿模板,感谢发我一下,'2269378748qq.com'
340	求光学以及图像处理相关的三区四区期刊	求光学以及图像处理相关的三区四区期刊。比如photonicsjournal,ao,opticalengineering,JBO等等。有没有推荐的呀,比较好发的三区或者四区期刊。最近急需
341	environmental microbiology	请问各位大神,有没有投过EM的?有没有版面费啊?
342	实验室研究与探索 审稿周期?	实验室研究与探索审稿周期?
343	Journal of food measurement and characterization审稿周期多长时间	各位虫友,有没有了解上面这个期刊的,请问它的审稿周期是多长,我文章投过去一个月了,状态一直没变过,也没有给我发过消息,中途问过一次,回复说已联系编辑,但是后来就没有回复了.焦急
344	有没有人发过European food research and technology	有没有人比较了解这个这个期刊呀,想咨询一下审稿大概多久
345	求助springer中proof提交的问题	的 download Download editing please
346	论文变换作者顺序	有没有大佬知道怎么弄
347	Journal of Materials Chemistry C的投稿网站是如下吗?	''图片1.png
348	农业领域,文章屡投屡拒	农业和食品专业,做天然活性成分对酶抑制机理的,想问问大家有什么合适的农业或者化学类的杂志可以投吗?太难了吧,我快疯了!投了六次了,一直被拒,我感觉我做的没啥问题啊,第一个都送审了一个小修一个拒稿然后悲剧,从那以后就投不出了...导师每次就说论文被拒了换杂志,一点意见也不给,还一直催...怪我效率太低影响他结题...真的不知道该投到哪里了...最近好水逆,重感冒上火嘴起泡今晚还把脚崴了,脚肿的跟啥一样,现在躺在床上的我emo了,不知道该怎样回老师的消息,也不知道下一步该怎么办...
349	Nanomaterials:南京师范大学付更涛教授领衔特刊:碱性燃料电池电催化剂 | 特刊征稿	低温碱性燃料电池因其高能量密度和生态友好性近年来备受关注,然而研究其所涉及的电催化反应动力学发展缓慢,对贵金属基电催化剂的依赖性严重限制了碱性燃料电池的大规模商业化应用。目前,如何替代或减少在碱性电催化反应中贵金属元素的使用已成为大量科学研究的焦点,但仍然存在诸多难点与挑战。Nanomaterials期刊邀请了南京师范大学化学与材料科学学院的付更涛教授担任客座编辑,设立了题为“ElectrocatalystsforFuelCellReactionsinAlkalineMedia(碱性燃料电池电催化剂)”的专刊。此特刊重点关注碱性燃料电池电催化剂方面的最新研究进展,包括对其新颖的设计策略,先进的...
350	求西南交大CCF会议	有西南交大的硕士吗?请问贵校有承办的ccf会议吗?救救孩子
351	以下哪个期刊比较好中	最近写了一篇论文,准备发个中文核心,请问各位老师,煤矿安全,煤炭技术,矿业研究与开发,等等这些关于地下结构计算反面的期刊哪个比较好中,论文是巷道理论计算方面的。
352	黑龙江高教研究网站打不开	这个期刊的官网打不开,大家也这样吗?
353	向Elsevier的英文润色服务索要纸质发票(Invoice)的邮件模板和email地址	向Elsevier的英文润色服务索要纸质发票(Invoice)的邮件模板和email地址
354	机械设计与制造 查看专家审回是终审   然后显示 编辑部处理中  8天 没有动静	机械设计与制造查看专家审回是终审然后显示编辑部处理中8天没有动静20200408_174332.png
355	环境遥感类期刊geocao international投稿问题求助	最近投taylorfrancis旗下的环境遥感类期刊geocaointernational,等了半个月才送编辑,又等了快半个月了还没送审,考虑过几天再不送审就撤稿了。有没有朋友投过这个期刊,或有类似经历,第一次投,好心人给给建议救救孩子吧,感激!
356	合成的时候偶然发现一个新骨架但是产率不高,应该投哪个杂志?感谢	合成的时候偶然发现一个新骨架但是产率不高,应该投哪个杂志?感谢
357	去掉一个通讯作者	去掉一个通讯作者
358	有谁的论文被交通运输工程学报收录过吗	我的退修后一直显示复审中一个月了也没有出现等待责编处理这算不算三审呢?
359	欧洲无机化学投稿必须付费么?还有其他三区MOF催化相关的杂志推荐么,谢谢	因为在生成pdf期间没有提示选择付费与否,所以想问一下是必须付费的么?另外麻烦大佬推荐一下除了爱思唯尔家ICA外其他的POMMOF材料催化相关的期刊。目前自己找到的有ICA和AOC
360	大佬们帮忙看看审稿状态吧	投稿JOSAA,等了四个多月,给编辑推荐了一个审稿人,他也回复我也没考虑我的建议,现在不知道咋办了,现在状态这样:Reviewer1TooBusy(083月2021)Reviewer2Agree(203月2021)Closed(274月2021)Reviewer3Agree(042月2021)Closed(223月2021)Reviewer4TooBusy(103月2021)Reviewer5Agree(063月2021)Complete(063月2021)Reviewer6TooBusy(035月2021)
361	ICC 2022快出结果了吗	又到了ICC快要出通知的时候了,大家的EDAS系统近期有变化没?希望大家都好运啊
362	投稿 SCI3区 机械类	求助各位大神,机械工程类,比较容易录用的SCI3区有哪些?
363	农业工程学报,请问这期刊要等多久才审完?	因为赶着毕业,投了一篇文章到农业工程学报,但迟迟没收到回复,仍然是“新到稿件”状态!请问怎么才能快点推进流程??能分享一下经验吗?谢谢了
364	第一次写论文,求投稿的合适期刊推荐,欺骗对抗无人机	以上,想要投英文,ei以上,毕业狗,求推荐时间效益比较好的
365	请问对于使用统计年鉴数据的情况,怎么讨论数据质量discuss the data quality	有篇论文用的是过国家统计局编制和出版的统计年鉴中的数据。有一条审稿意见建议讨论dataquality及其implications。请问应该怎么讨论才好呢?非常感谢、好好学习!
366	JOURNAL OF CLUSTER SCIENCE 期刊 word 模板	JOURNALOFCLUSTERSCIENCE期刊有word模板吗?哪里找?在官网上只找到了latex的模板。
367	请问一下  cej这个期刊接受Review吗?	如上所示感谢各位大佬
368	International Journal of Biological Macromolecules 和 Gene	InternationalJournalofBiologicalMacromolecules和Gene最近投稿这两个杂志,目前一直witheditor是什么情况啊,有没有一样的朋友啊?
369	期刊发表 很容易嘛?	论文发表通过率怎么样才能提高????快速发表有想了解的嘛
370	小修会被再次送审吗	综述投稿esnano,经历大修,小修,小修后还会被送审吗?
371	请问有投过nature子刊的吗	请问有投过naturecatal的吗,投稿十天了一直是manuscriptreceived状态,是还没有分配编辑吗。请问多久能有消息呢
372	Biochemical Pharmacology投稿一个月,Under review后状态停在10.10,什么情况	BiochemicalPharmacology投稿一个月了,一直Underreviews,但今天发现StatueDate停在10.10不动了,什么情况?1634348925(1).png
373	有没有投过《铁道工程学报》的前辈?	用理论推导和数值模拟投了一篇桥梁抗震的文章论文到该刊,网站上也没有处理进度,打电话没有人接,快4个月了,是什么情况呀,也没有给退稿,我的论文还有希望嘛,有没有投过此刊的前辈给说一说吗
374	pending editor decision	remotesensing一轮大修一轮小修,小修返回当天pendingeditordecision,一直持续了10天还是这个状态,不知道虫子们有没有也遇到这种情况的,焦虑
375	IET Image Processing	请问投稿IETImageProcessing时,需要上传之前投稿其它期刊的据稿意见吗?
376	《人工晶体学报》投稿	《人工晶体学报》要求如何,主要偏重那个方面,拒稿率高吗?被拒两次了,实在没有想法了。
377	半导体材料得电子器件适合的期刊	有大佬推荐一个sci期刊关于半导体材料的电子器件适合的期刊吗?文章篇幅短,求适合的sci期刊文章(电子类的)
378	MDPI下的materials投稿已经pending review 3天了,有朋友碰到过这样的情况吗?	MDPI下的materials投稿已经pending review 3天了,有朋友碰到过这样的情况吗?
379	食品科学技术学报	食品科学技术学报好投吗?审稿时间多长?食品期刊SCI四区有什么期刊比较好投?
380	Under Review过程中时间更新了代表什么?	Under Review过程中时间更新了代表什么?
381	food chemistry投稿咨询	投稿首先是submit,然后witheditor,现在又变成了decisioninProgress这个会拒稿吗?我看别人没有这个流程
382	投稿Zeitschrift für Kristallographie  New Crystal Structures	最近打算投一篇ZeitschriftfürKristallographieNewCrystalStructures的文献,由于是新手,找不到相应的手稿模板,急求各位大侠帮助
383	投稿 让改投 results in materials  ,然后收到1000美元账单。有同款经历的人吗?	投稿 让改投 results in materials  ,然后收到1000美元账单。有同款经历的人吗?
384	sci综述投稿	最近想写一篇自己研究领域的综述。但是课题组属于小组,没有大牛,没有约稿。请问一下大家,这种情况可以写好后可以自己投吗?会有机会被接受吗?
385	《人文地理》复审退修录用的可能性大吗?	《人文地理》复审退修录用的可能性大吗?之前经过外审后退修过一次。这次是专家复审后的修改,回来给的意见无非就是格式、语言凝练等问题,不确定是否会被录用,请大佬指点,谢谢
386	关于基金问题	国外sci期刊投稿论文如果挂有基金项目相对而言更容易过吗。
387	初审部分审回	投了一篇核心期刊,已经两个多月了。今天审稿状态由初审变成“初审部分审回”,感觉审的好慢啊!请问各位大神,文章被拒的概率大嘛?最后,在神奇的小木虫上祈祷一下,希望文章能中。
388	审稿人已经complete,稿子却依然处于peer review状态	投稿期刊分配了两个审稿人,目前审稿都已经comolete,过去5天了,但稿子却依然处于peerreview状态,编辑也没有任何消息,是什么原因呢?
389	论文是xml2pdf done状态	MDPI旗下materials期刊,目前状态一直是xml2pdfdone,持续好几天了,这是什么情况呢
390	ACS Omega	有没有投过ACSOmega的大佬,是不是只有交了版面费才能校稿,不交版面费不能校稿啊,求各位大佬帮忙。
391	请问C刊集刊算C刊吗?	最近中了一篇C刊来源集刊,当时不知道来源刊和来源集刊的区别,稀里糊涂的投了,结果发现多了一个“集”字,而且2017年以后的集刊目录也不再在南大官网上发表了,所以不知道C刊集刊还算C刊吗?
392	投稿Hindawi下的期刊,Academic Editor unassigned状态持续一个月了	投稿了Hindawi下的期刊,AssociateEditor早早就分配了,但AcademicEditorunassigned状态持续一个月了。请问各位大神,这是怎么回事呀?
393	Pattern Recognition Letters 的LaTex模板编译后没有关键字。	PatternRecognitionLetters的LaTex模板编译后没有关键字。论文投出去后被退回,说没有关键字。我是从官网上下载的模板。急求!
394	分区查询	ACSAppliedEnergyMaterials能否帮忙查一下这个期刊基础版,升级版的分区谢谢
395	有人投过journal of engineering and technology management吗,请来传授经验	投稿journalofengineeringandtechnologymanagement外审回来,目前ReadyforDecision96天了被拒的可能性大吗,要催一下吗?
396	有没有材料偏机械类的,中科院3区或者4区,审稿快,易中的SCI呀?	求助呀!一篇电弧增材的文章,投2区被拒了,现转投3区或者4区。最好是4区那种能一次接收的,累了
397	土木工程审稿较快的核心期刊	土木工程类审稿较快的核心期刊有什么啊?
398	编辑回信我不明白,不知道如何回复	IamwritingregardingyoursubmissiontoProceedingsoftheEdinburghMathematicalSociety,ResearchoftheNumberofPrimeNumbersbyLuYi*******************************ThanksforyoursubmissiontoPEMS.Anewrequirementbythepublishersisforauthorstoincludeasectiontitled‘competinginterestsdecl...
399	中草药评审已审回	请问中草药的审回周期是多久呀,已经显示评审已审回三周了还是看不到意见
400	Star protocols是个什么期刊	晚上查了好久,没查到关于这个期刊的一些介绍
401	终稿提交	求问ieee上传终稿可以自己修改吗,邮件里有这段话不知道怎么办Youmaynotmakeanyunauthorizedchangestoyourmanuscriptatthistime.IEEEwillperformacomparisonofyouracceptedpapeoyourfinalsubmission,andanychangesoutsideofwhattheeditorhasrequestedwillneedtobejustifiedandapprovedbeforepublication,causingdelays.Thisincludesanychangestotheau...
402	求《环境科学与管理》网址	哪位知道《环境科学与管理》网址
403	Advanced Functional Materials投稿	AdvancedFunctionalMaterials投稿后被拒,argue之后,编辑同意修改,投稿状态变成rebuttal,想请问后续修改之后是发给旧的审稿人看还是重给新的审稿人看,有经验的人麻烦告知一下,谢谢
404	工程经济类SCI水刊,汇率风险防控方向的	求助:工程经济类SCI水刊,汇率风险防控方向的。
405	材料研究学报投稿	材料研究学报已经到发稿状态了,还有多久能见刊呢?也没通知交版面费。
406	Hindawi论文接受后,什么时候会收到通知缴费的邮件	求助求助,投了一篇hindawi的文章接受了,让我上传一些可编辑的图片和文件,但是现在我还没收到缴费邮件,想问问有没有类似经验的朋友,什么时候收到缴费邮件的?
407	论文投稿	论文投稿forests被拒各位虫友和forests差不多的林业期刊还有什么啊?
408	投稿求助	各位路过的老师,同学,大家在投稿时候有遇到过下面这种情况吗,需要上传disclosureForm,我在系统里面找不到这个文件,投稿两次都因为这个被退回。我已经稿件里做了利益冲突陈述,但是还是被退回来了,我给编辑办公室发邮件,邮件总是被退回。想请教下大家,拜托知道的老师同学给指导下,感激不尽
409	机械设计与制造	在机械设计与制造投了一篇论文,查看专家意见是终审,现在是编辑部处理中,请问大家这样能中吗?第一次投论文不太懂,希望伙伴们回答一下
410	有关于“IEEE Journal of Selected Topics in Signal Processing”投稿咨询	想咨询一下大家IEEEJournalofSelectedTopicsinSignalProcessing怎么样,有没有经验分享下。网上查到的信息说审稿速度挺快,但是已经投稿了两个多星期,还是显示AwaitingEditorAssignment,这正常吗?能催吗?而且这个期刊只有特刊和邀稿?谢谢广大的木虫成员们!!!
411	IEEE Tran. 新期刊值得投吗?虽然不指着毕业,但是以后会被SCI收录吗?	发现有不少新的IEEETrans期刊,本着本人比较菜,想投了新的Trans.,圆了Trans.的梦想。在小木虫查了下,有的人说Trans会把在SCI检索前的论文都被追检索啊,有的不会,求助大神们,给个相对准确的信息
412	求助各位大佬们最终的审稿意见希望大不大	ManuscriptIDXXXXXXXXXXXXXXXXXXXXXXXXXXXXXsubmittedtoXXXXXXXXXXXXXXXXXX,hasbeenreviewed.Thecommentsfromreviewer(s)areincludedatthebottomofthisletter.Inviewofreviewerfeedback,wemustdeclinethemanuscriptforpublicationintheXXXXXXXXXXatthistime.However,anewmanuscriptmaybesubmittedwhichtakesintoconsiderati...
413	最近有人投过Analytical Letters吗?	最近有人投过Analytical Letters吗?
414	论文已经校样完成 但是一直没消息	之前论文校样完成发给编辑然后又有一个错误编辑发我我改好了就一直没消息了.没有收到录用通知也没有交版面费通知我看之前的样稿是九月份发表那一版的这种情况会给我顺延到下一期发表吗?现在没消息期刊编辑的qq也联系不上了(一直处于不在线状态)这种会不会黄了啊?
415	求图像处理方面好中的期刊	最好是核心,中文的,求推荐
416	3修with editor6周 状态没变 日期变了	4.1投稿期间经历了3次修改最后一次感觉是编辑修的基本都是要求改一些格式,要求引用该期刊3年内的文章改完9.30又投出去4周左右忍不住发消息询问状态一直都没有回信到现在6周啦状态还是witheditor,但日期变成今天有没有老师有这个情况何去何从?现在基本每天打开看好几遍。焦虑得不行。拜托各位老师啦!
417	求各位大佬推荐中文核心期刊(北大核心,科技核心都行),需要审稿快点的	论文关于嵌入式和目标检测算法方向的,导师放养再加上学校没强制专硕发,结果导师要求发,希望各位大佬能推荐一下,拜托了各位
418	各位专家,TRB会议论文可以有一部分是期刊发表的内容吗或者是不加改动直接投过去?	各位专家,TRB会议论文可以有一部分是期刊发表的内容吗或者是不加改动直接投过去?
